account,order_date,asin,product_name,unit_price,quantity,order_id,order_status
JuliePhil,2024-07-01,B08R2BPLSN,"Skull Party Game | Bluffing ,Strategy, Fun for Game Night | Family Board Game for Adults and Teens | Ages 13+ | 3-6 Players | Average Playtime 30 Minutes | Made by Space Cowboys",17.99,1,114-9056291-3272222,Closed
JuliePhil,2024-07-01,B0BD5J9M98,"NEW'C [3 Pack Designed for iPhone 14 Pro (6.1"") Screen Protector Tempered Glass, Case Friendly Anti Scratch Bubble Free Ultra Resistant",5.89,1,114-9056291-3272222,Closed
JuliePhil,2021-12-05,B06Y2YCDBS,Anastasia Beverly Hills - DIPBROW Pomade - Dark Brown,14.7,1,112-2075013-6259415,Closed
JuliePhil,2023-06-09,B07VRXLJWC,"Van Heusen Boys Long Sleeve Collared Button-Down Dress Shirt and Tie Set, White Poplin, 18-20 Husky",31.5,1,111-7192685-7262620,Closed
JuliePhil,2018-12-06,B00RM9U43A,"Blue Buffalo Wilderness Soft-Moist Grain-Free Cat Treats Variety Pack - 4 Flavors (Chicken & Duck, Chicken & Trout, Chicken & Salmon, and Chicken & Turkey) - 2 Oz Each (4 Total Pouches)",13.99,1,114-9911992-3369839,Closed
JuliePhil,2020-12-16,B083XGBPPG,Acxico 1Pcs Q9/BNC Type Coaxial Fixed Attenuator Connector DC-6GHz 3W 50ohm 10 15 20 40dB,14.99,1,113-6861072-1345831,Closed
JuliePhil,2020-12-16,B083XKMPND,Acxico 1Pcs Q9/BNC Type Coaxial Fixed Attenuator Connector DC-6GHz 3W 50ohm 10 15 20 40dB,14.49,2,113-6861072-1345831,Closed
JuliePhil,2018-04-26,B00CK1BKZQ,iKKEGOL USB Foot Control Action Switch Pedal Free Driver HID for Keyboard Mouse Game PC Laptop,13.99,1,113-2073548-4492222,Closed
JuliePhil,2018-08-11,B00NY6OLCK,E-Z Ink (TM) Compatible Toner Cartridge Replacement for Brother TN660 TN-660 TN630 TN-630 High Yield (1 Black) For HL-L2320D HL-L2380DW HL-L2340DW MFC-L2700DW MFC-L2720DW MFC-L2740DW MFC-L2707DW,12.99,1,112-7097308-9291448,Closed
JuliePhil,2021-07-09,B01KOFVINI,"Sperry Top-Sider Kids' Authentic Original Boat Shoe, Black, 6 M US Big Kid",64.95,1,111-1961181-3204234,Closed
JuliePhil,2021-09-06,B00NTE6YA4,"Monster Premium Synthetic Valve Oil |""Original"" |Take Better Care of Your Instrument Like a Pro",7.95,1,112-2016075-9346648,Closed
JuliePhil,2008-08-26,B000IXWAGG,"Tachikara SV-MNC Volley-Lite volleyball with Sensi-Tech cover, regulation size but lighter (scarlet/white/royal).",31.88,1,002-6515159-6005035,Closed
JuliePhil,2017-08-02,B01N8T3MAK,"Badge Holder with Zip, Wisdompro 2-Sided PU Leather ID Badge Holder with 1 ID Window, 4 Card Slots, 1 Side Zipper Pocket and 1 piece 20"" PU Neck Lanyard / Strap - Black (Vertical)",11.99,1,114-0031894-6401051,Closed
JuliePhil,2017-08-02,B01JH969Z4,"adidas Alliance II Sack Pack, One Size, Spray Booth White/Black",14.95,1,114-0031894-6401051,Closed
JuliePhil,2017-08-02,B00GV47ZGQ,"adidas Alliance II Sackpack, 18 x 13 3/4-Inch, Black",14.99,1,114-0031894-6401051,Closed
JuliePhil,2014-05-13,1591451884,Jesus Calling: Enjoying Peace in His Presence,9.03,1,114-6242209-3673858,Closed
JuliePhil,2014-05-13,0830745165,Intercessory Prayer: How God Can Use Your Prayers to Move Heaven and Earth,13.32,1,114-6242209-3673858,Closed
JuliePhil,2019-12-20,B07N19DPKN,SAMONPOW Case for iPhone XR Hybrid iPhone XR Wallet Case Card Slot Holder Heavy Duty Protection Anti Scratch Dual Layer Hard PC Soft Rubber Bumper Cover for iPhone XR 6.1 inch Purple,10.99,1,114-8928937-4965817,Closed
JuliePhil,2017-08-13,1616558385,Avatar: The Last Airbender-Smoke and Shadow Part Three,10.97,1,112-8367309-9633849,Closed
JuliePhil,2017-08-13,1616557907,Avatar: The Last Airbender - Smoke and Shadow Part Two,9.26,1,112-8367309-9633849,Closed
JuliePhil,2017-08-13,1616557613,Avatar: The Last Airbender - Smoke and Shadow Part One,8.79,1,112-8367309-9633849,Closed
JuliePhil,2013-07-25,B00AS0X2WK,Kendama Catch Game,6.5,2,103-3092553-0675454,Closed
JuliePhil,2013-07-25,1616551909,"Avatar: The Last Airbender - The Search, Part 2",6.87,1,103-3092553-0675454,Closed
JuliePhil,2025-07-08,B000SRGQSK,"BRIANNAS - Home Style Blush Wine Vinaigrette Dressing - Fine Salad Dressing made with Premium Ingredients - Gluten Free, Kosher, & Vegan - 12 oz. Bottle",3.69,2,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B002B9280S,"Green Onions (Scallions), One Bunch",0.99,1,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B00KGU7RBY,"Tostitos Scoops! Multigrain Tortilla Chips, 10 Oz",3.99,1,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B0051C3MY8,"Spice World Squeeze Garlic, 9.5 oz",4.79,2,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B09NRHD5K1,"Amazon Grocery, Corn Starch,16 Oz (Previously Amazon Fresh, Packaging May Vary)",1.73,2,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B08BMBX42M,"Amazon Brand - Happy Belly Zesty Italian Dressing, 16 fl oz (Pack of 1)",1.95,2,113-3841123-3849002,Closed
JuliePhil,2025-07-08,B07FLBBWJR,"Oral-B Glide Pro-Health Comfort Plus Floss, Mint, 3 Ct",9.97,2,113-3841123-3849002,Closed
JuliePhil,2018-10-01,B000J0B3VG,"Oxford Filler Paper, 8-1/2"" x 11"", College Rule, 3-Hole Punched, Loose-Leaf Paper for 3-Ring Binders, 500 Sheets Per Pack (62349)",10.48,1,111-5876937-3610648,Closed
JuliePhil,2024-09-11,B0CFHKL7CZ,"Charmast Portable Charger with Built-in Cables & Wall Plug, 10000mAh Portable Power Bank, External Battery Pack Travel Essentials Compatible with iPhone 15/14/13, Samsung, iPad etc",24.99,1,111-1141292-6231426,Closed
JuliePhil,2014-12-01,B007MSN4UG,By J.K. Rowling: Harry Potter and the Sorcerer's Stone (Book 1),8.35,1,114-3311963-7771418,Closed
JuliePhil,2013-10-23,B004S1Q1PU,Fake Beard / Mustache Disguise White,5.95,1,108-4680264-4919427,Closed
JuliePhil,2013-05-12,0973358610,Children Can You Hear Me: How to Hear and See God,19.95,1,103-3717812-4144228,Closed
JuliePhil,2011-06-26,1415865965,Esther: It's Tough Being a Woman,9.95,1,002-2295771-8170646,Closed
JuliePhil,2010-06-05,B003E7B0JQ,24/pk Military Shaped Silicone Rubber Bands Bracelets,9.95,1,002-6333462-3025044,Closed
JuliePhil,2020-02-29,B00MMRFUG8,"Remington D3190 Damage Protection Hair Dryer with Ceramic + Ionic + Tourmaline Technology, Purple",19.84,1,112-4873282-0468229,Closed
JuliePhil,2018-09-15,B01HDAIAGU,"DC12V 2A Power Supply Adapter, SANSUN AC100-240V to DC12V Transformers, Switching Power Supply for 12V LED Strip Lights, 12 Volt 2 Amp Power Adaptor, 2.1mm X 5.5mm US Plug (Pack of 5)",25.99,1,111-8855997-5967422,Closed
JuliePhil,2021-07-18,B0874XJYW8,"Toshiba 43LF621U21 43-inch Smart 4K UHD with Dolby Vision - Fire TV, Released 2020",249.99,1,113-2908835-6602665,Closed
JuliePhil,2021-06-22,B08J5P53JK,"New Apple Watch Series 6 (GPS, 44mm) - (Product) RED - Aluminum Case with (Product) RED&#xFEFF; - Sport Band",349.99,1,111-9746974-0016249,Closed
JuliePhil,2021-06-22,B016NY7784,Apple Pencil,94,1,111-9746974-0016249,Closed
JuliePhil,2014-12-20,B000068O3T,"Hosa GPM-103 3.5mm TRS to 1/4"" TRS Adaptor",0.99,2,114-7459339-6364228,Closed
JuliePhil,2018-05-13,B01ABRS00S,SmartEra 3.5mm Female to 2 Male Gold Plated Headphone Mic Audio Y Splitter Flat Cable(Red),5.39,1,113-4011798-7160263,Closed
